date,code,open,high,low,close,volume,amount,adjustflag,turn
2022-11-30,sz.301177,41.4700,49.6600,41.4600,47.1000,33498790,1562955921.7000,3,91.867300
2022-12-30,sz.301177,48.3000,64.2500,48.2900,62.9800,52479507,2910869823.2300,3,138.080400
2023-01-31,sz.301177,62.8500,71.9400,59.5900,64.6200,33448477,2186688885.5000,3,83.600300
2023-02-28,sz.301177,64.7000,64.7700,53.8400,55.3800,38840644,2255538939.1300,3,97.077600
2023-03-31,sz.301177,55.1800,56.7200,49.3400,53.1700,32270443,1721298059.5900,3,80.655900
2023-04-28,sz.301177,52.9700,52.9700,40.1100,42.2800,27243013,1287735004.3800,3,68.090600
2023-05-31,sz.301177,42.2000,43.8000,38.8500,39.8600,23457406,977231179.2300,3,58.628800
2023-06-30,sz.301177,39.7400,42.0100,36.6500,38.4300,19217893,763919761.7800,3,48.032600
2023-07-31,sz.301177,38.4900,40.2100,35.2300,38.0000,28667171,1077029610.7700,3,71.649700
2023-08-31,sz.301177,38.0000,38.8000,32.5100,34.1000,23623858,833237110.7400,3,59.044700
2023-09-28,sz.301177,34.2500,38.3200,32.7100,33.0800,23623105,821756879.5800,3,59.043000
2023-10-31,sz.301177,33.0400,33.0400,29.8500,31.4000,14607238,462001687.6800,3,36.508900
2023-11-30,sz.301177,31.5200,32.5600,30.9000,31.1800,16489040,523336904.1800,3,41.212400
2023-12-29,sz.301177,31.1000,31.2900,28.2000,29.4900,17671997,523604039.9500,3,44.168800
2024-01-31,sz.301177,29.7000,29.7000,23.0600,23.1400,21657727,590953552.6500,3,54.130700
2024-02-29,sz.301177,22.9900,26.4500,19.0300,25.1400,22850457,531792629.7600,3,57.111900
2024-03-29,sz.301177,25.1800,26.0000,23.2000,24.5300,19594525,486037788.3000,3,48.974200
2024-04-30,sz.301177,24.5300,31.6000,21.5100,24.2800,82901092,2186697793.8300,3,207.200900
2024-05-31,sz.301177,24.5000,25.8500,22.4600,22.6800,29468839,719509462.8200,3,73.653800
2024-06-28,sz.301177,22.6300,22.7300,18.4100,18.6000,21004896,428367237.4200,3,52.499300
2024-07-31,sz.301177,18.5100,19.5000,17.3500,18.7800,21845144,403952669.0700,3,54.599000
2024-08-30,sz.301177,18.7900,19.4900,17.4800,19.1300,19472905,360454666.2000,3,48.670000
2024-09-30,sz.301177,19.2100,23.7600,17.2000,23.4600,21655577,423213986.0200,3,54.125400
2024-10-31,sz.301177,27.1000,27.4600,21.2600,22.6400,35044663,817403532.3800,3,87.589800
2024-11-29,sz.301177,22.5300,28.1000,21.8000,25.3000,56525363,1369801939.3500,3,141.278000
2024-12-31,sz.301177,25.4100,26.5500,22.7400,22.8400,48466391,1207470601.4800,3,121.135200
2025-01-27,sz.301177,22.5700,28.0000,21.0300,23.8800,47260661,1186646260.4200,3,118.122200
2025-02-28,sz.301177,24.0800,26.7000,23.0600,25.7000,39685773,992666241.4700,3,99.189500
2025-03-31,sz.301177,25.6900,35.0000,25.6900,28.3600,72413419,2168784051.9100,3,180.988300
2025-04-30,sz.301177,28.2500,29.7500,21.9000,26.0600,37807185,987532168.2600,3,94.494200
2025-05-30,sz.301177,26.1400,32.1000,26.1400,29.0100,43656495,1276053098.6600,3,109.113800
2025-06-30,sz.301177,29.3000,34.2400,28.5300,29.6000,61850383,1907515956.0700,3,121.299200
2025-07-31,sz.301177,29.9000,30.4700,27.3800,27.4500,28841736,833287897.9300,3,7.210300
2025-08-29,sz.301177,27.4700,35.1200,27.3000,35.1200,36934915,1106817664.0100,3,9.233500
2025-09-30,sz.301177,35.1200,41.2700,33.0600,33.8600,104744099,3843504100.8400,3,26.185300
2025-10-31,sz.301177,34.5200,35.1700,31.9000,32.5100,30665060,1008450048.3500,3,7.666000
2025-11-28,sz.301177,32.9700,32.9700,30.0400,30.5900,28304157,884873184.0500,3,7.075900
2022-02-28,sz.301200,76.5600,76.5600,64.3000,66.1600,18633254,1248603936.0000,3,47.250100
2022-03-31,sz.301200,64.5200,68.3700,53.8700,54.1800,97978076,5986472547.1100,3,248.452400
2022-04-29,sz.301200,53.8800,55.0000,45.0300,50.8900,39340267,1982051165.1500,3,99.758900
2022-05-31,sz.301200,50.5000,54.1000,47.0100,49.0000,34668443,1763460332.9400,3,87.912000
2022-06-30,sz.301200,49.0800,56.8700,48.8000,54.0000,61727948,3307106422.5200,3,156.529700
2022-07-29,sz.301200,54.0000,55.3000,49.0000,53.9000,39703570,2072436631.9600,3,100.680400
2022-08-31,sz.301200,54.1700,59.5800,48.0800,48.1100,59562624,3225867471.5700,3,150.219100
2022-09-30,sz.301200,48.1300,50.2500,41.1200,41.2300,17368660,811463901.4300,3,41.354200
2022-10-31,sz.301200,41.3100,46.2500,39.9500,41.0400,20310105,876444948.1700,3,48.357300
2022-11-30,sz.301200,41.2000,45.5000,41.0000,42.1600,23469911,1025185956.6300,3,55.880800
2022-12-30,sz.301200,42.4700,43.8400,38.1900,39.2000,14012115,577868154.7200,3,33.362300
2023-01-31,sz.301200,39.2000,41.8800,38.9700,41.6500,10003486,405612027.2700,3,23.817700
2023-02-28,sz.301200,42.0000,45.8900,41.3000,44.6900,31791249,1395435798.1400,3,75.693500
2023-03-31,sz.301200,44.5300,45.5000,41.2300,43.8500,22529632,986608097.0700,3,53.642100
2023-04-28,sz.301200,43.7800,49.6900,38.3000,39.6600,42037493,1903680208.5200,3,100.089200
2023-05-31,sz.301200,39.7300,43.0200,38.5400,39.5800,17070212,689863587.5000,3,40.643400
2023-06-30,sz.301200,39.4000,40.5600,37.6200,39.8800,12236759,479746147.8800,3,29.135400
2023-07-31,sz.301200,40.4600,40.5200,38.4000,39.8200,10313563,409529380.0900,3,24.556200
2023-08-31,sz.301200,40.0200,40.2600,34.6800,37.2900,11505290,432890068.1800,3,27.393700
2023-09-28,sz.301200,37.2900,39.2000,37.1100,37.8900,12039285,461371348.2500,3,28.664900
2023-10-31,sz.301200,37.8800,38.9700,34.8100,38.5000,12311935,460110174.3900,3,29.314000
2023-11-30,sz.301200,38.4300,39.9200,37.7600,38.0800,13716637,533045839.8400,3,32.658700
2023-12-29,sz.301200,38.1100,38.5400,35.6900,37.7700,12596123,468897404.4200,3,23.608700
2024-01-31,sz.301200,37.9800,38.2600,28.0100,28.1200,13604427,462350145.9700,3,23.728600
2024-02-29,sz.301200,27.9700,37.0000,26.8000,34.8100,41430686,1343815592.9600,3,72.263300
2024-03-29,sz.301200,34.8100,35.6800,31.5600,32.9700,19426425,667793499.2300,3,33.883300
2024-04-30,sz.301200,32.8200,35.5400,31.2500,34.9900,19901383,673406153.7500,3,34.712000
2024-05-31,sz.301200,35.5000,36.3900,33.0300,34.5000,17458558,604561932.4400,3,30.451200
2024-06-28,sz.301200,34.4800,34.6500,30.0100,31.5600,15602666,507383754.0700,3,26.793200
2024-07-31,sz.301200,31.3800,31.8600,28.7100,30.1400,11896571,362069212.8900,3,20.369700
2024-08-30,sz.301200,30.1400,31.2400,27.8800,28.9700,11406567,339564070.1300,3,19.530600
2024-09-30,sz.301200,29.0800,35.4200,26.7600,34.8800,14657404,436544046.9300,3,25.096900
2024-10-31,sz.301200,41.0000,41.5000,33.1600,34.7400,33336077,1191203157.5500,3,57.079300
2024-11-29,sz.301200,34.3100,41.9400,33.0000,36.0200,72730160,2734841667.2900,3,124.531700
2024-12-31,sz.301200,36.1000,42.9500,35.5000,36.1800,45011618,1719527626.1000,3,77.070800
2025-01-27,sz.301200,36.1800,39.3500,32.8100,38.0600,34759931,1288671255.7500,3,59.517300
2025-02-28,sz.301200,38.3400,42.8700,37.9000,39.9100,44257982,1778993383.5900,3,75.779900
2025-03-31,sz.301200,39.9100,44.8800,39.2000,40.1000,44208180,1863136875.2300,3,75.695000
2025-04-30,sz.301200,40.2500,40.6400,31.6200,37.7800,28520788,1039441344.0900,3,48.834400
2025-05-30,sz.301200,38.1800,40.3900,36.0200,36.5400,20972722,801996801.5800,3,35.194200
2025-06-30,sz.301200,35.9900,43.8500,34.8300,42.4700,60442857,2448370600.0900,3,97.040800
2025-07-31,sz.301200,42.5000,82.9000,41.1000,77.5000,174648714,9781459742.0700,3,280.397600
